Borough,Park or Playground,Week Start Date,Week End date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Total Attendance
Staten Island,De Matti Park - CPI,10/05/2021,10/09/2021,0,0,12,6,10,15,15,58
Staten Island,De Matti Park - CPI,10/12/2021,10/16/2021,0,0,7,11,8,18,10,54
Staten Island,McDonalds Playground,09/28/2021,10/02/2021,0,0,4,5,4,8,7,28
Staten Island,McDonalds Playground,10/05/2021,10/09/2021,0,0,3,3,10,10,8,34
Staten Island,McDonalds Playground,10/12/2021,10/16/2021,0,0,5,5,7,7,8,32
Bronx,Tremont Park,07/09/2017,07/15/2017,0,0,30,20,20,0,50,120
Queens,Lou Lodati Playground (Torsney Plygd),10/12/2021,10/16/2021,0,0,100,100,100,100,89,489
Queens,Lou Lodati Playground (Torsney Plygd),10/22/2021,10/19/2021,0,0,120,110,120,150,0,500
Queens,Helen Marshall,10/12/2021,10/16/2021,0,0,50,36,30,30,0,146
Queens,Helen Marshall,10/19/2021,10/22/2021,0,0,60,60,60,60,0,240
Queens,Helen Marshall,09/14/2021,09/18/2021,0,0,50,50,20,20,20,160
Manhattan,Union Square,10/03/2021,10/09/2021,0,0,91,111,72,104,86,464
Manhattan,Union Square,10/10/2021,10/16/2021,0,0,82,0,0,0,0,82
Queens,Linden Playground (Park of the Americas) - CPI,07/02/2017,07/08/2017,0,0,0,595,680,0,795,2070
Bronx,Loreto Playground,07/09/2017,07/15/2017,0,0,67,46,63,0,0,176
Manhattan,Wright Brothers Playground,06/27/2017,07/01/2017,0,0,147,200,137,126,140,750
Manhattan,Raoul Wallenberg Playground - CPI,06/27/2017,07/01/2017,140,150,110,135,0,0,0,535
Manhattan,Bloomingdale Playground,06/27/2017,07/01/2017,0,0,110,90,55,65,80,400
Manhattan,Poor Richard's Playground - CPI,06/27/2017,07/01/2017,0,0,0,100,100,100,0,300
Brooklyn,William Sheridan Playground - CPI,04/23/2017,04/29/2017,60,45,0,0,40,42,56,243
Bronx,Echo Park,07/09/2017,07/15/2017,0,0,120,110,85,0,0,315
Manhattan,Marcus Garvey,06/27/2017,07/01/2017,0,0,150,20,140,150,120,580
Manhattan,Little Flower,06/27/2017,07/01/2017,0,0,165,150,0,120,65,500
Manhattan,White Park - CPI,06/27/2017,07/01/2017,0,0,88,171,92,50,31,432
Manhattan,Tompkins Square Park - CPI,06/27/2017,07/01/2017,0,0,954,1268,965,438,517,4142
Manhattan,Bennett Playground,06/27/2017,07/01/2017,0,0,300,280,220,180,120,1100
Manhattan,J Hood Wright - CPI,06/27/2017,07/01/2017,0,0,128,149,127,196,17,617
Manhattan,Seward Park - CPI,06/27/2017,07/01/2017,0,0,500,450,350,380,310,1990
Manhattan,White Park - CPI,07/04/2017,07/08/2017,0,0,0,50,22,32,65,169
Manhattan,St. Catherine's Park,07/04/2017,07/08/2017,0,0,0,190,95,0,0,285
Brooklyn,Lincoln Terrace Park,04/17/2017,04/22/2017,0,0,50,61,65,72,87,335
Manhattan,Union Square,06/27/2017,07/01/2017,0,0,187,223,203,171,225,1009
Manhattan,Seward Park - CPI,07/04/2017,07/08/2017,0,0,0,300,315,200,350,1165
Manhattan,Columbus Park - CPI,06/27/2017,07/01/2017,0,570,767,729,679,746,0,3491
Manhattan,Raoul Wallenberg Playground - CPI,07/04/2017,07/08/2017,0,0,0,130,100,30,75,335
Manhattan,Bennett Playground,07/04/2017,07/08/2017,0,0,0,200,160,120,160,640
Manhattan,Marcus Garvey,07/04/2017,07/08/2017,0,0,0,160,140,150,130,580
Manhattan,Poor Richard's Playground - CPI,07/04/2017,07/08/2017,0,0,0,100,75,80,100,355
Manhattan,Bloomingdale Playground,07/04/2017,07/08/2017,0,0,0,100,115,55,40,310
Manhattan,Frederick Johnson Park,07/04/2017,07/08/2017,0,0,0,145,136,32,109,422
Manhattan,Frederick Johnson Park,06/27/2017,07/01/2017,0,0,105,127,101,107,245,685
Brooklyn,Lincoln Terrace Park,04/24/2017,04/29/2017,0,0,48,63,70,77,89,347
Manhattan,Wright Brothers Playground,07/04/2017,07/08/2017,0,0,0,177,90,83,105,455
Manhattan,Columbus Park - CPI,07/04/2017,07/08/2017,0,0,0,0,686,335,634,1655
Manhattan,Little Flower,07/04/2017,07/08/2017,0,0,0,0,83,63,55,201
Manhattan,J Hood Wright - CPI,07/04/2017,07/08/2017,0,0,0,112,80,52,104,348
Staten Island,PS 14/Stapleton Playground,07/11/2017,07/15/2017,0,0,53,46,49,0,38,186
Staten Island,PS 55/Martinson Playground,07/11/2017,07/15/2017,0,0,78,89,66,0,96,329
Manhattan,Union Square,07/04/2017,07/08/2017,0,0,0,189,134,178,225,726
Manhattan,Tompkins Square Park - CPI,07/04/2017,07/08/2017,0,0,0,645,600,365,409,2019
Staten Island,Mason Playground,07/11/2017,07/15/2017,0,0,100,120,80,60,100,460
Staten Island,PS 38,07/11/2017,07/15/2017,0,0,25,35,20,15,50,145
Brooklyn,Dreier Offerman - CPI,04/25/2017,04/29/2017,0,0,40,36,30,26,50,182
Queens,Colden Playground - CPI,07/09/2017,07/15/2017,0,0,46,30,30,0,25,131
