Borough,Park or Playground,Week Start Date,Week End date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Total Attendance
Brooklyn,Seth Low,08/20/2017,08/26/2017,0,0,130,150,100,90,0,470
Brooklyn,St Andrew's Playground - CPI,07/30/2017,08/05/2017,0,0,54,67,60,70,68,319
Brooklyn,St Andrew's Playground - CPI,08/13/2017,08/19/2017,0,0,45,60,57,66,70,298
Brooklyn,St Andrew's Playground - CPI,08/06/2017,08/12/2017,0,0,60,65,70,59,74,328
Brooklyn,Seth Low,08/27/2017,09/02/2017,0,0,123,102,167,132,141,665
Brooklyn,St Andrew's Playground - CPI,08/27/2017,09/02/2017,0,0,74,70,65,73,60,342
Bronx,Martin Van Buren Playground,05/07/2017,05/13/2017,0,0,30,50,37,0,0,117
Brooklyn,St Andrew's Playground - CPI,08/20/2017,08/26/2017,0,0,43,56,61,49,0,209
Brooklyn,St Johns Playground - CPI,07/16/2017,07/22/2017,0,0,55,65,78,74,0,272
Brooklyn,St Johns Playground - CPI,07/23/2017,07/29/2017,0,0,70,60,59,67,81,337
Brooklyn,St Johns Playground - CPI,07/30/2017,08/05/2017,0,0,45,63,50,70,80,308
Brooklyn,St Johns Playground - CPI,08/06/2017,08/12/2017,0,0,69,72,75,66,69,351
Brooklyn,St Johns Playground - CPI,08/20/2017,08/26/2017,0,0,70,60,70,75,0,275
Brooklyn,St Johns Playground - CPI,08/13/2017,08/19/2017,0,0,56,68,77,80,80,361
Brooklyn,St Johns Playground - CPI,08/27/2017,09/02/2017,0,0,55,68,76,83,81,363
Brooklyn,William Sheridan Playground - CPI,07/30/2017,08/05/2017,0,0,65,60,60,66,70,321
Brooklyn,Sternberg Park - CPI,08/20/2017,08/26/2017,0,0,0,0,0,0,0,0
Bronx,Horseshoe Playground - CPI,05/07/2017,05/13/2017,0,0,13,17,21,18,0,69
Brooklyn,Sternberg Park - CPI,08/27/2017,09/02/2017,0,0,93,102,109,84,111,499
Brooklyn,William Sheridan Playground - CPI,08/06/2017,08/12/2017,0,0,70,69,70,67,72,348
Brooklyn,William Sheridan Playground - CPI,08/13/2017,08/19/2017,0,0,75,72,64,60,69,340
Brooklyn,William Sheridan Playground - CPI,08/20/2017,08/26/2017,0,0,55,59,63,65,0,242
Brooklyn,William Sheridan Playground - CPI,08/27/2017,09/02/2017,0,0,73,66,61,71,77,348
Brooklyn,Vincent Abate Playground - CPI,08/06/2017,08/12/2017,0,0,90,102,109,100,90,491
Brooklyn,Vincent Abate Playground - CPI,07/30/2017,08/05/2017,0,0,78,89,103,104,90,464
Brooklyn,Vincent Abate Playground - CPI,08/20/2017,08/26/2017,0,0,79,87,90,92,0,348
Brooklyn,Vincent Abate Playground - CPI,08/13/2017,08/19/2017,0,0,100,93,91,88,95,467
Queens,Beach 59th Street Playground - CPI,08/28/2017,09/02/2017,0,0,25,61,55,60,57,258
Bronx,Barreto Playground - CPI,05/07/2017,05/13/2017,0,0,13,18,7,18,0,56
Queens,Beach 59th Street Playground - CPI,08/22/2017,08/26/2017,0,0,77,77,39,88,116,397
Brooklyn,Vincent Abate Playground - CPI,08/27/2017,09/02/2017,0,0,103,101,99,97,100,500
Queens,Bayswater Park - CPI,08/27/2017,09/02/2017,0,0,23,133,113,113,0,382
Queens,Linden Playground (Park of the Americas) - CPI,08/27/2017,09/02/2017,0,0,60,770,600,730,685,2845
Queens,Athens Square Park - CPI,09/03/2017,09/09/2017,0,0,57,48,121,96,0,322
Queens,Maple Playground - CPI,09/05/2017,09/09/2017,0,0,351,342,361,393,401,1848
Bronx,PFC Lozada Playground - CPI,09/03/2017,09/09/2017,0,0,27,2,20,30,32,111
Bronx,People's Park,09/03/2017,09/09/2017,0,0,18,0,20,12,0,50
Bronx,Willis Playground - CPI,09/03/2017,09/09/2017,0,0,60,5,61,34,45,205
Bronx,Behagen Playground,09/03/2017,09/09/2017,0,0,26,0,0,33,20,79
Bronx,People's Park,05/07/2017,05/13/2017,0,0,12,10,13,15,0,50
Bronx,Mott Playground - CPI,09/03/2017,09/09/2017,0,0,35,0,37,45,35,152
Bronx,Clark Playground - CPI,09/03/2017,09/09/2017,0,0,0,0,0,0,0,0
Bronx,Tiffany Playground,09/03/2017,09/09/2017,0,0,0,0,0,0,0,0
Bronx,Horseshoe Playground - CPI,09/03/2017,09/09/2017,0,0,21,3,26,30,10,90
Bronx,Rev. James Polite Playground - CPI,09/03/2017,09/09/2017,0,0,58,0,50,40,40,188
Bronx,Slattery Playground - CPI,09/03/2017,09/09/2017,0,0,85,0,70,75,0,230
Bronx,Barreto Playground - CPI,09/03/2017,09/09/2017,0,0,19,0,15,0,0,34
Bronx,Mullaly Skate Park,09/03/2017,09/09/2017,0,0,50,0,55,65,50,220
Bronx,Martin Van Buren Playground,09/03/2017,09/09/2017,0,0,45,0,40,60,0,145
Bronx,PO Serrano Playground,09/03/2017,09/09/2017,0,0,0,0,0,15,0,15
Manhattan,Columbus Park - CPI,04/17/2017,04/21/2017,0,0,0,453,922,814,0,2189
Bronx,Dawson Playground - CPI,05/07/2017,05/13/2017,0,0,45,33,24,30,0,132
Bronx,St Mary's East Playground,09/03/2017,09/09/2017,0,0,50,0,40,35,0,125
Bronx,Dawson Playground - CPI,09/03/2017,09/09/2017,0,0,57,0,29,44,50,180
Queens,Linden Playground (Park of the Americas) - CPI,09/03/2017,09/09/2017,0,0,0,11,540,605,155,1311
Bronx,Flynn Playground - CPI,09/03/2017,09/09/2017,0,0,25,0,15,20,0,60
Queens,Buz O'Rourke,08/20/2017,08/26/2017,0,0,93,85,105,146,155,584
Bronx,Claremont Park,09/03/2017,09/09/2017,0,0,20,0,20,20,0,60
Queens,Lower Highland Playground,08/13/2017,08/19/2017,0,0,75,63,84,110,125,457
Queens,Buz O'Rourke,08/13/2017,08/19/2017,0,0,85,60,95,130,125,495
Queens,Lower Highland Playground,08/20/2017,08/26/2017,0,0,52,68,65,83,120,388
Queens,Maple Playground - CPI,09/03/2017,09/09/2017,310,0,0,22,296,303,0,931
Bronx,St Mary's East Playground,05/07/2017,05/13/2017,0,0,20,30,25,30,0,105
Queens,Yellowstone Park,08/13/2017,08/20/2017,0,0,185,210,250,310,315,1270
Queens,Colden Playground - CPI,08/27/2017,09/02/2017,0,0,63,72,76,83,53,347
Queens,Yellowstone Park,08/20/2017,08/26/2017,0,0,260,225,320,285,410,1500
Queens,Brookville Playground,08/27/2017,09/02/2017,0,0,138,203,311,256,0,908
Queens,Underhill Playground,08/20/2017,08/26/2017,0,0,160,102,220,215,280,977
Queens,Underhill Playground,08/13/2017,08/19/2017,0,0,115,57,128,220,235,755
Queens,Beach 30th Playground - CPI,08/20/2017,08/26/2017,0,0,95,75,135,175,210,690
Queens,Mauro Playground,08/06/2017,08/12/2017,0,0,85,0,76,0,0,161
Queens,Lawrence Playground,08/13/2017,08/19/2017,0,0,80,103,0,0,207,390
Queens,Juniper Park,07/02/2017,07/08/2017,0,0,60,85,70,65,90,370
Manhattan,Marcus Garvey,05/02/2017,05/06/2017,0,0,250,160,300,0,200,910
Queens,London Planetree,08/20/2017,08/26/2017,0,0,90,83,120,110,185,588
Queens,Mauro Playground,08/13/2017,08/19/2017,0,0,92,0,78,0,0,170
Queens,Maple Playground - CPI,08/15/2017,08/19/2017,0,0,68,407,411,0,392,1278
Queens,Mauro Playground,08/20/2017,08/26/2017,0,0,95,0,110,0,0,205
Queens,Bayswater Park - CPI,08/13/2017,08/19/2017,0,0,180,205,175,235,320,1115
Queens,Bayswater Park - CPI,08/20/2017,08/26/2017,0,0,135,180,210,250,235,1010
Queens,Colden Playground - CPI,08/13/2017,08/19/2017,0,0,20,60,72,0,80,232
Queens,Colden Playground - CPI,09/03/2017,09/09/2017,0,0,0,0,49,97,127,273
Queens,Charybdis Playground - CPI,09/03/2017,09/09/2017,105,0,60,10,45,90,0,310
Manhattan,Bloomingdale Playground,08/29/2017,09/02/2017,0,0,0,100,105,120,0,325
Bronx,Flynn Playground - CPI,05/07/2017,05/13/2017,0,0,0,0,16,15,0,31
Manhattan,Wright Brothers Playground,08/29/2017,09/02/2017,0,0,90,103,111,73,80,457
Manhattan,Raoul Wallenberg Playground - CPI,08/29/2017,09/02/2017,0,0,0,55,90,0,50,195
Manhattan,J Hood Wright - CPI,08/29/2017,09/02/2017,0,0,92,250,63,87,0,492
Manhattan,Matthew Sapolin,08/29/2017,09/02/2017,0,0,0,650,738,0,0,1388
Manhattan,Union Square,09/05/2017,09/09/2017,0,0,167,0,238,427,0,832
Manhattan,Bloomingdale Playground,08/22/2017,08/26/2017,0,0,110,110,120,100,65,505
Manhattan,Raoul Wallenberg Playground - CPI,09/05/2017,09/09/2017,0,0,50,0,60,0,0,110
Manhattan,Wright Brothers Playground,09/05/2017,09/09/2017,0,0,107,131,100,97,85,520
Manhattan,Bloomingdale Playground,09/05/2017,09/09/2017,0,0,105,0,170,170,40,485
Manhattan,Tompkins Square Park - CPI,09/05/2017,09/09/2017,0,0,879,0,895,941,799,3514
Manhattan,Little Flower,05/09/2017,05/13/2017,0,0,589,549,0,349,0,1487
Manhattan,J Hood Wright - CPI,09/05/2017,09/09/2017,0,0,65,25,82,58,98,328
Manhattan,Washington Square park,09/05/2017,09/09/2017,0,0,150,232,102,250,180,914
Manhattan,Seward Park - CPI,09/05/2017,09/09/2017,0,0,225,0,375,300,200,1100
Manhattan,Little Flower,09/05/2017,09/09/2017,0,0,130,125,69,0,156,480
Manhattan,Columbus Park - CPI,09/05/2017,09/09/2017,0,0,495,524,573,521,673,2786
Manhattan,Jackie Robinson Playground - CPI,09/05/2017,09/09/2017,0,0,75,0,60,85,95,315
Manhattan,White Park - CPI,09/05/2017,09/09/2017,0,0,75,0,115,90,0,280
Manhattan,Poor Richard's Playground - CPI,09/05/2017,09/09/2017,0,0,50,0,120,100,90,360
Manhattan,Bennett Playground,09/05/2017,09/09/2017,0,0,160,220,260,260,300,1200
Bronx,Clark Playground - CPI,09/10/2017,09/16/2017,0,0,0,0,0,0,0,0
Manhattan,Seward Park - CPI,05/09/2017,05/13/2017,0,0,260,200,220,280,0,960
Bronx,Tiffany Playground,09/10/2017,09/16/2017,0,0,0,0,0,0,0,0
Bronx,People's Park,09/10/2017,09/16/2017,0,0,0,0,0,0,0,0
Bronx,Dawson Playground - CPI,09/10/2017,09/16/2017,0,0,40,35,45,40,0,160
Bronx,Horseshoe Playground - CPI,09/10/2017,09/16/2017,0,0,14,20,18,26,25,103
Bronx,Flynn Playground - CPI,09/10/2017,09/16/2017,0,0,15,20,24,15,30,104
Bronx,PFC Lozada Playground - CPI,09/10/2017,09/16/2017,0,0,27,15,19,0,27,88
Bronx,Behagen Playground,09/10/2017,09/16/2017,0,0,20,6,21,21,25,93
Bronx,Rev. James Polite Playground - CPI,09/10/2017,09/16/2017,0,0,40,30,19,43,45,177
Bronx,Martin Van Buren Playground,09/10/2017,09/16/2017,0,0,35,0,31,55,68,189
Bronx,St Mary's East Playground,09/10/2017,09/16/2017,0,0,25,15,20,45,20,125
Manhattan,Union Square,05/09/2017,05/13/2017,0,0,250,215,168,215,0,848
Bronx,Willis Playground - CPI,09/10/2017,09/16/2017,0,0,30,27,30,35,40,162
Bronx,Barreto Playground - CPI,09/10/2017,09/16/2017,0,0,0,0,15,23,42,80
Bronx,Mott Playground - CPI,09/10/2017,09/16/2017,0,0,35,38,44,39,40,196
Bronx,Mullaly Skate Park,09/10/2017,09/16/2017,0,0,25,23,22,15,30,115
Bronx,PO Serrano Playground,09/10/2017,09/16/2017,0,0,0,17,0,24,0,41
Bronx,Claremont Park,09/10/2017,09/16/2017,0,0,37,33,26,41,47,184
Brooklyn,Betsy Head Playground,09/03/2017,09/09/2017,0,0,234,251,200,300,278,1263
Brooklyn,Betsy Head Playground,09/11/2017,09/16/2017,0,0,120,159,170,202,167,818
Queens,Hoover - Manton Playgrounds,08/20/2017,08/26/2017,0,0,180,210,178,355,360,1283
Bronx,Slattery Playground - CPI,09/10/2017,09/16/2017,0,0,40,25,45,55,50,215
Manhattan,Columbus Park - CPI,05/09/2017,05/13/2017,0,0,941,992,863,1086,0,3882
Queens,Hoover - Manton Playgrounds,08/27/2017,09/02/2017,225,0,0,0,0,0,340,565
Queens,Queensbridge Park,08/13/2017,08/19/2017,0,0,135,170,150,225,280,960
Queens,Playground for All Children - CPI,08/13/2017,08/19/2017,0,0,230,257,320,350,460,1617
Queens,Athens Square Park - CPI,09/10/2017,09/16/2017,0,0,82,72,79,86,0,319
Queens,Queensbridge Park,08/20/2017,08/26/2017,0,0,140,170,175,225,310,1020
Queens,Colden Playground - CPI,09/10/2017,09/16/2017,24,0,0,0,109,120,0,253
Queens,Maple Playground - CPI,09/10/2017,09/16/2017,0,0,121,210,140,185,0,656
Queens,Charybdis Playground - CPI,09/10/2017,09/16/2017,100,0,85,72,60,125,0,442
Queens,Linden Playground (Park of the Americas) - CPI,09/10/2017,09/16/2017,0,0,475,520,505,620,0,2120
Queens,Bayswater Park - CPI,09/10/2017,09/16/2017,0,110,0,0,0,85,0,195
Manhattan,Tompkins Square Park - CPI,05/09/2017,05/13/2017,0,0,352,366,570,518,0,1806
Queens,Bayswater Park - CPI,09/03/2017,09/09/2017,0,0,120,89,145,223,220,797
Queens,Playground for All Children - CPI,09/03/2017,09/09/2017,0,0,340,325,250,378,510,1803
Brooklyn,Garibaldi Playground - CPI,09/10/2017,09/16/2017,0,0,70,60,58,60,0,248
Queens,Playground for All Children - CPI,09/10/2017,09/16/2017,0,0,350,325,370,410,0,1455
Brooklyn,Hattie Carthan,09/10/2017,09/16/2017,0,0,45,32,41,51,0,169
Brooklyn,St Johns Playground - CPI,09/10/2017,09/16/2017,0,0,0,0,0,0,0,0
Brooklyn,Linden Park,09/10/2017,09/16/2017,0,0,65,58,60,90,120,393
Brooklyn,Maria Hernandez Park,09/10/2017,09/16/2017,0,0,62,58,60,47,0,227
Bronx,Tiffany Playground,09/17/2017,09/23/2017,0,0,0,0,0,0,0,0
Bronx,Clark Playground - CPI,09/17/2017,09/23/2017,0,0,0,0,0,0,0,0
Manhattan,Bloomingdale Playground,05/09/2017,05/13/2017,0,0,90,115,145,140,0,490
Bronx,St Mary's East Playground,09/17/2017,09/23/2017,0,0,25,34,44,25,50,178
Bronx,Dawson Playground - CPI,09/17/2017,09/23/2017,0,0,0,0,0,0,0,0
Bronx,Mott Playground - CPI,09/17/2017,09/23/2017,0,0,38,31,36,31,35,171
Bronx,Flynn Playground - CPI,09/17/2017,09/23/2017,0,0,22,18,15,0,25,80
Bronx,Horseshoe Playground - CPI,09/17/2017,09/23/2017,0,0,16,19,24,27,25,111
Bronx,Barreto Playground - CPI,09/17/2017,09/23/2017,0,0,11,20,0,10,50,91
Bronx,Willis Playground - CPI,09/17/2017,09/23/2017,0,0,10,20,30,42,50,152
Bronx,Behagen Playground,09/17/2017,09/23/2017,0,0,15,21,28,26,44,134
Bronx,People's Park,09/17/2017,09/23/2017,0,0,15,18,24,25,30,112
Bronx,Rev. James Polite Playground - CPI,09/17/2017,09/23/2017,0,0,20,33,43,50,60,206
Manhattan,Bennett Playground,04/17/2017,04/21/2017,0,0,0,0,100,140,0,240
Manhattan,Marcus Garvey,05/09/2017,05/13/2017,0,0,200,250,145,195,0,790
Bronx,PFC Lozada Playground - CPI,09/17/2017,09/23/2017,0,0,20,17,32,30,35,134
Bronx,Mullaly Skate Park,09/17/2017,09/23/2017,0,0,0,16,0,31,0,47
Bronx,Mullaly Skate Park,09/17/2017,09/23/2017,0,0,10,40,21,20,60,151
Bronx,Martin Van Buren Playground,09/17/2017,09/23/2017,0,0,43,48,0,82,98,271
Queens,Maple Playground - CPI,09/17/2017,09/23/2017,0,0,343,359,422,396,0,1520
Bronx,Slattery Playground - CPI,09/17/2017,09/23/2017,0,0,30,70,145,90,120,455
Bronx,Claremont Park,09/17/2017,09/23/2017,0,0,18,29,0,43,45,135
Queens,Playground for All Children - CPI,09/17/2017,09/23/2017,0,0,108,156,367,405,0,1036
Brooklyn,Sternberg Park - CPI,09/17/2017,09/23/2017,0,0,102,99,128,115,131,575
Brooklyn,Sternberg Park - CPI,09/03/2017,09/09/2017,0,100,123,107,113,121,0,564
Manhattan,Bennett Playground,05/09/2017,05/13/2017,0,0,120,180,170,180,0,650
Brooklyn,Sternberg Park - CPI,09/10/2017,09/16/2017,0,0,109,111,122,117,126,585
Brooklyn,Seth Low,09/03/2017,09/09/2017,0,0,150,220,250,199,216,1035
Queens,Colden Playground - CPI,09/17/2017,09/23/2017,93,0,0,0,113,74,0,280
Brooklyn,Seth Low,09/17/2017,09/23/2017,0,0,150,100,250,200,250,950
Queens,Athens Square Park - CPI,09/17/2017,09/23/2017,0,0,62,66,29,36,49,242
Brooklyn,Dreier Offerman - CPI,09/03/2017,09/09/2017,0,0,54,64,67,50,41,276
Brooklyn,Dreier Offerman - CPI,09/17/2017,09/23/2017,0,0,70,59,68,77,53,327
Brooklyn,Garibaldi Playground - CPI,09/03/2017,09/09/2017,0,0,64,81,76,59,0,280
Brooklyn,Dreier Offerman - CPI,09/10/2017,09/16/2017,0,0,74,80,63,69,54,340
Brooklyn,Betsy Head Playground,09/17/2017,09/23/2017,0,0,200,350,300,275,400,1525
Queens,Linden Playground (Park of the Americas) - CPI,05/07/2017,05/13/2017,0,0,505,540,575,455,0,2075
Brooklyn,Garibaldi Playground - CPI,09/17/2017,09/23/2017,0,0,60,61,71,72,59,323
Brooklyn,John J Carty Park - CPI,09/10/2017,09/16/2017,0,0,62,65,55,48,0,230
Brooklyn,John J Carty Park - CPI,09/03/2017,09/09/2017,0,0,45,50,50,55,0,200
Brooklyn,John J Carty Park - CPI,09/17/2017,09/23/2017,0,0,55,50,60,60,70,295
Brooklyn,Kaiser Park,09/10/2017,09/16/2017,0,0,19,27,22,23,0,91
Brooklyn,Kaiser Park,09/03/2017,09/09/2017,0,0,22,23,30,25,0,100
Brooklyn,Dyker Beach Park - CPI,09/10/2017,09/16/2017,0,0,110,124,116,101,0,451
Brooklyn,Kaiser Park,09/17/2017,09/23/2017,0,0,29,30,19,24,20,122
Brooklyn,Dyker Beach Park - CPI,09/03/2017,09/09/2017,0,0,90,100,100,120,0,410
Brooklyn,Hattie Carthan,09/03/2017,09/09/2017,0,0,51,37,33,41,0,162
Manhattan,Raoul Wallenberg Playground - CPI,05/09/2017,05/13/2017,0,0,110,150,120,110,0,490
Brooklyn,Hattie Carthan,09/17/2017,09/23/2017,0,0,47,36,43,50,39,215
Brooklyn,Maria Hernandez Park,09/03/2017,09/09/2017,0,0,59,48,55,60,0,222
Bronx,Rev. James Polite Playground - CPI,09/24/2017,09/30/2017,0,0,25,30,32,25,30,142
Brooklyn,McLaughlin Park,09/03/2017,09/09/2017,0,0,70,60,63,48,0,241
Bronx,St Mary's East Playground,09/24/2017,09/30/2017,0,0,25,30,50,25,40,170
Bronx,People's Park,09/24/2017,09/30/2017,0,0,14,24,14,16,18,86
Brooklyn,Maria Hernandez Park,09/17/2017,09/23/2017,0,0,60,39,40,48,51,238
Bronx,Willis Playground - CPI,09/24/2017,09/30/2017,0,0,30,40,20,23,29,142
Bronx,PO Serrano Playground,09/24/2017,09/30/2017,0,0,0,18,0,20,0,38
Bronx,Mullaly Skate Park,09/24/2017,09/30/2017,0,0,16,12,15,18,25,86
Queens,Hoover - Manton Playgrounds,05/07/2017,05/13/2017,67,0,0,0,0,205,0,272
Bronx,PFC Lozada Playground - CPI,09/24/2017,09/30/2017,0,0,20,19,26,22,24,111
Bronx,Horseshoe Playground - CPI,09/24/2017,09/30/2017,0,0,24,23,14,19,26,106
Bronx,Flynn Playground - CPI,09/24/2017,09/30/2017,0,0,25,20,32,15,10,102
Bronx,Behagen Playground,09/24/2017,09/30/2017,0,0,19,14,17,22,36,108
Bronx,Clark Playground - CPI,09/24/2017,09/30/2017,0,0,0,0,0,0,0,0
Bronx,Tiffany Playground,09/24/2017,09/30/2017,0,0,50,35,55,61,20,221
Bronx,Slattery Playground - CPI,09/24/2017,09/30/2017,0,0,40,50,40,40,75,245
Bronx,Martin Van Buren Playground,09/24/2017,09/30/2017,0,0,40,54,43,55,65,257
Bronx,Mott Playground - CPI,09/24/2017,09/30/2017,0,0,40,37,34,44,37,192
Bronx,Barreto Playground - CPI,09/24/2017,09/30/2017,0,0,0,14,22,18,20,74
Queens,Playground for All Children - CPI,05/07/2017,05/13/2017,670,0,250,0,550,730,0,2200
Bronx,Claremont Park,09/24/2017,09/30/2017,0,0,26,21,33,24,20,124
Bronx,Dawson Playground - CPI,09/24/2017,09/30/2017,0,0,0,0,0,0,0,0
Brooklyn,Marion Hopkinson Playground - CPI,09/04/2017,09/09/2017,0,0,35,30,40,50,65,220
Brooklyn,Linden Park,09/18/2017,09/23/2017,0,0,60,75,65,80,100,380
Brooklyn,Marion Hopkinson Playground - CPI,09/11/2017,09/16/2017,0,0,45,40,60,41,60,246
Brooklyn,Marion Hopkinson Playground - CPI,09/18/2017,09/23/2017,0,0,30,32,40,35,62,199
Brooklyn,McLaughlin Park,09/11/2017,09/16/2017,0,0,45,47,45,62,80,279
Brooklyn,McLaughlin Park,09/18/2017,09/23/2017,0,0,40,42,50,45,85,262
Brooklyn,Osborn Playground,08/28/2017,09/02/2017,0,0,24,31,27,28,42,152
Brooklyn,St Andrew's Playground - CPI,09/04/2017,09/09/2017,0,0,80,70,65,78,82,375
Queens,Bayswater Park - CPI,05/07/2017,05/13/2017,0,0,72,107,96,172,0,447
Brooklyn,St Andrew's Playground - CPI,09/11/2017,09/16/2017,0,0,65,72,52,63,65,317
Brooklyn,Osborn Playground,08/21/2017,08/26/2017,0,0,35,30,29,36,50,180
Brooklyn,St Andrew's Playground - CPI,09/18/2017,09/23/2017,0,0,42,55,48,50,62,257
Brooklyn,Osborn Playground,09/11/2017,09/16/2017,0,0,31,27,28,32,28,146
Brooklyn,Vincent Abate Playground - CPI,09/04/2017,09/09/2017,0,0,90,100,78,80,102,450
Brooklyn,Osborn Playground,09/18/2017,09/23/2017,0,0,32,28,21,25,40,146
Brooklyn,Vincent Abate Playground - CPI,09/11/2017,09/16/2017,0,0,82,80,87,72,91,412
Brooklyn,Vincent Abate Playground - CPI,09/18/2017,09/23/2017,0,0,85,91,78,87,110,451
Brooklyn,Sternberg Park - CPI,09/18/2017,09/22/2017,0,60,54,48,52,62,110,386
Brooklyn,William Sheridan Playground - CPI,09/18/2017,09/23/2017,0,0,62,65,71,68,85,351
Bronx,Martin Van Buren Playground,05/14/2017,05/20/2017,0,0,52,72,52,44,0,220
Brooklyn,William Sheridan Playground - CPI,09/11/2017,09/16/2017,0,0,72,68,72,80,89,381
Brooklyn,St Johns Playground - CPI,09/18/2017,09/23/2017,0,0,62,50,54,54,80,300
Brooklyn,Betsy Head Playground,09/25/2017,09/30/2017,0,0,160,175,160,125,180,800
Brooklyn,Dreier Offerman - CPI,09/25/2017,09/30/2017,0,0,42,35,40,42,65,224
Brooklyn,Garibaldi Playground - CPI,09/25/2017,09/30/2017,0,0,52,45,48,63,68,276
Brooklyn,Osborn Playground,09/24/2017,09/30/2017,0,0,45,34,40,23,29,171
Brooklyn,John J Carty Park - CPI,09/25/2017,09/30/2017,0,0,45,60,62,50,42,259
Brooklyn,Hattie Carthan,09/25/2017,09/30/2017,0,0,52,60,58,54,68,292
Brooklyn,Kaiser Park,09/24/2017,09/30/2017,0,0,31,35,28,25,30,149
Brooklyn,St Andrew's Playground - CPI,09/24/2017,09/30/2017,0,0,40,50,50,45,40,225
Queens,Maple Playground - CPI,05/07/2017,05/13/2017,0,0,246,228,219,257,0,950
Manhattan,Bloomingdale Playground,09/12/2017,09/16/2017,0,0,180,180,160,0,0,520
Manhattan,Washington Square park,09/12/2017,09/16/2017,0,0,0,250,238,230,157,875
Manhattan,J Hood Wright - CPI,09/12/2017,09/16/2017,0,0,72,65,45,82,56,320
Manhattan,Wright Brothers Playground,09/12/2017,09/16/2017,0,0,100,85,94,112,60,451
Manhattan,Raoul Wallenberg Playground - CPI,09/12/2017,09/16/2017,0,0,70,50,30,80,0,230
Manhattan,Union Square,09/12/2017,09/16/2017,0,297,0,27,146,271,341,1082
Manhattan,Poor Richard's Playground - CPI,09/12/2017,09/16/2017,0,0,100,120,80,100,100,500
Manhattan,White Park - CPI,09/12/2017,09/16/2017,0,0,75,100,0,85,175,435
Manhattan,Seward Park - CPI,09/12/2017,09/16/2017,0,375,315,0,300,350,400,1740
Manhattan,Tompkins Square Park - CPI,09/12/2017,09/16/2017,0,0,769,742,715,781,788,3795
Staten Island,Faber Park - CPI,05/16/2017,05/20/2017,0,0,54,89,50,0,0,193
Manhattan,Bennett Playground,09/12/2017,09/16/2017,0,0,220,300,260,320,120,1220
Manhattan,Little Flower,09/12/2017,09/16/2017,0,0,158,63,90,62,48,421
Manhattan,White Park - CPI,09/19/2017,09/23/2017,0,0,120,85,110,75,0,390
Manhattan,Columbus Park - CPI,09/12/2017,09/16/2017,0,0,530,489,511,563,547,2640
Manhattan,Little Flower,09/19/2017,09/23/2017,0,0,152,70,158,179,0,559
Manhattan,J Hood Wright - CPI,09/19/2017,09/23/2017,0,0,68,72,36,12,0,188
Manhattan,Columbus Park - CPI,09/19/2017,09/23/2017,0,0,503,570,632,605,0,2310
Manhattan,Union Square,07/25/2017,07/29/2017,0,0,176,148,79,171,207,781
Manhattan,Little Flower,07/25/2017,07/29/2017,0,0,96,103,0,0,13,212
Manhattan,Jackie Robinson Playground - CPI,09/12/2017,09/16/2017,0,0,70,55,0,85,75,285
Manhattan,Raoul Wallenberg Playground - CPI,04/17/2017,04/22/2017,0,0,0,0,0,70,0,70
Queens,Beach 30th Playground - CPI,05/07/2017,05/13/2017,85,0,60,0,0,97,0,242
Manhattan,Marcus Garvey,09/05/2017,09/09/2017,0,0,120,60,130,0,0,310
Manhattan,Marcus Garvey,09/12/2017,09/16/2017,0,0,130,120,120,0,140,510
Manhattan,White Park - CPI,09/26/2017,09/30/2017,0,0,0,0,110,25,50,185
Manhattan,Raoul Wallenberg Playground - CPI,09/26/2017,09/30/2017,0,0,0,80,70,0,55,205
Manhattan,Bloomingdale Playground,09/26/2017,09/30/2017,0,0,80,80,100,120,80,460
Manhattan,Wright Brothers Playground,09/26/2017,09/30/2017,0,0,100,65,70,83,57,375
Manhattan,J Hood Wright - CPI,09/26/2017,09/30/2017,0,0,76,90,70,83,94,413
Queens,Athens Square Park - CPI,09/24/2017,09/30/2017,0,0,68,72,63,0,62,265
Queens,Playground for All Children - CPI,09/24/2017,09/30/2017,0,0,108,156,367,405,0,1036
Queens,Queensbridge Park,09/03/2017,09/09/2017,125,0,0,0,0,0,108,233
Bronx,Slattery Playground - CPI,05/14/2017,05/20/2017,0,0,55,65,75,70,0,265
Queens,Queensbridge Park,09/10/2017,09/16/2017,110,0,0,0,0,0,85,195
Queens,Queensbridge Park,09/17/2017,09/23/2017,95,0,0,0,0,0,130,225
Queens,Maple Playground - CPI,09/24/2017,09/30/2017,0,392,401,0,0,412,0,1205
Queens,Linden Playground (Park of the Americas) - CPI,09/24/2017,09/30/2017,0,0,185,160,210,205,0,760
Queens,Charybdis Playground - CPI,09/24/2017,09/30/2017,20,30,25,40,0,120,80,315
Bronx,Rev. James Polite Playground - CPI,10/01/2017,10/07/2017,0,0,20,35,40,47,30,172
Bronx,Willis Playground - CPI,10/01/2017,10/07/2017,0,0,13,25,22,20,25,105
Bronx,St Mary's East Playground,10/01/2017,10/07/2017,0,0,15,25,25,40,35,140
Bronx,Dawson Playground - CPI,10/01/2017,10/07/2017,0,0,0,0,0,0,0,0
Bronx,People's Park,10/01/2017,10/07/2017,0,0,16,18,10,14,20,78
